"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2019";"6";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"3.1";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"2.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"2.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"1.4";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"8";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"4.8";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"0";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"0";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"0";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"1.4";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2018";"4.8";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"3.9";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"0";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"8.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"4.2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"0";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"8.1";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"4.1";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"0";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"4.6";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"2.4";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"0";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2017";"7.6";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"4.2";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"2.2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"2.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"5.6";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"6.8";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"6.2";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"0";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"4.7";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"2.4";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"3.6";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2016";"4.8";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"6.3";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"6.5";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"12.2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"9.4";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"0";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"6.7";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"3.4";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"4.7";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"13.7";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"9.3";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"2.9";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2015";"9.6";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"5.8";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"6.8";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"8.7";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"7.8";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"2.8";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"6.8";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"4.9";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"0";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"9";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"4.6";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"3.7";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2014";"7.8";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"3.5";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"4.4";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"6.3";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"5.4";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"1.4";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"3.9";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"2.7";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"1";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"4.3";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"2.2";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"2.1";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2013";"4.8";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"3";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"0";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"6.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"3.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"1.3";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"6.3";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"3.8";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"0";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"0";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"0";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"0.7";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2012";"5.2";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"4.5";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"2.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"9.8";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"6.1";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"0";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"8.4";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"4.3";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"4.3";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"0";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"2.1";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"1.3";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2011";"7.6";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"2.3";"Territorio Histórico";"Euskadi";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"0";"Territorio Histórico";"Gipuzkoa";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"6.2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"3.2";"Territorio Histórico";"Gipuzkoa";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"0";"Territorio Histórico";"Bizkaia";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"3.6";"Territorio Histórico";"Bizkaia";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"1.8";"Territorio Histórico";"Bizkaia";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"0";"Territorio Histórico";"Álava";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"3.8";"Territorio Histórico";"Álava";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"2";"Territorio Histórico";"Álava";"Sexo";"Total";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"0";"Territorio Histórico";"Euskadi";"Sexo";"Mujeres";"";"";
"Defunciones entre la población de 15 a 29 años por suicidio y lesiones autoinfligidas, según TTHH y sexo (tasas por 100.000)";"2010";"4.4";"Territorio Histórico";"Euskadi";"Sexo";"Hombres";"";"";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"23073";"Sexo";"Total";"Territorio Histórico";"Euskadi";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"2";"Sexo";"Mujeres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"2";"Sexo";"Mujeres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"1";"Sexo";"Mujeres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"5";"Sexo";"Mujeres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"3781";"Sexo";"Mujeres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"4";"Sexo";"Mujeres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"1";"Sexo";"Mujeres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"3";"Sexo";"Mujeres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"8";"Sexo";"Mujeres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"6316";"Sexo";"Mujeres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"1";"Sexo";"Mujeres";"Territorio Histórico";"Álava";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"2";"Sexo";"Mujeres";"Territorio Histórico";"Álava";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"1";"Sexo";"Mujeres";"Territorio Histórico";"Álava";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"4";"Sexo";"Mujeres";"Territorio Histórico";"Álava";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"1411";"Sexo";"Mujeres";"Territorio Histórico";"Álava";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"7";"Sexo";"Mujeres";"Territorio Histórico";"Euskadi";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"5";"Sexo";"Mujeres";"Territorio Histórico";"Euskadi";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"5";"Sexo";"Mujeres";"Territorio Histórico";"Euskadi";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"17";"Sexo";"Mujeres";"Territorio Histórico";"Euskadi";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"11508";"Sexo";"Mujeres";"Territorio Histórico";"Euskadi";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"2";"Sexo";"Hombres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"7";"Sexo";"Hombres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"7";"Sexo";"Hombres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"16";"Sexo";"Hombres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"3836";"Sexo";"Hombres";"Territorio Histórico";"Gipuzkoa";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"12";"Sexo";"Hombres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"9";"Sexo";"Hombres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"5";"Sexo";"Hombres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"26";"Sexo";"Hombres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"6170";"Sexo";"Hombres";"Territorio Histórico";"Bizkaia";"Grupos de edad";"Población total";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"2";"Sexo";"Hombres";"Territorio Histórico";"Álava";"Grupos de edad";"25-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"0";"Sexo";"Hombres";"Territorio Histórico";"Álava";"Grupos de edad";"20-24";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"2";"Sexo";"Hombres";"Territorio Histórico";"Álava";"Grupos de edad";"15-19";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"4";"Sexo";"Hombres";"Territorio Histórico";"Álava";"Grupos de edad";"Total 15-29";
"Defunciones entre la población de 15 a 29 años, por grupos de edad y sexo";"2021";"1559";"Sexo";"Hombres";"Territorio Histórico";"Álava";"Grupos de edad";"Población total";
